	dataset	session	subject	space	type	participant_id	correlation	baseline_old	baseline_new	missing_old	missing_new
0	MDTB	ses-s1	sub-02	fs32k	CondHalf	sub-02	0.9976335733957279	3.0263722226439825e-17	5.0407259582509975e-17	183	183
1	MDTB	ses-s2	sub-02	fs32k	CondHalf	sub-02	0.973998090081304	2.3553431908687473e-17	1.8741451624918868e-16	124	124
2	MDTB	ses-s1	sub-03	fs32k	CondHalf	sub-03	0.9976980076684764	4.9898346453467094e-17	4.275254122163242e-15	109	109
3	MDTB	ses-s2	sub-03	fs32k	CondHalf	sub-03	0.9762318330972692	1.923485012658294e-17	2.2046390756655821e-16	91	91
4	MDTB	ses-s1	sub-04	fs32k	CondHalf	sub-04	0.9990412029096597	2.7430031456803248e-17	1.0974096918121291e-16	380	380
5	MDTB	ses-s2	sub-04	fs32k	CondHalf	sub-04	0.9759149799087408	2.623270258808625e-17	1.914689732281307e-16	266	266
6	MDTB	ses-s1	sub-06	fs32k	CondHalf	sub-06	0.999319047258413	3.519876574398115e-17	1.0468843082067835e-16	169	169
7	MDTB	ses-s2	sub-06	fs32k	CondHalf	sub-06	0.9874668363498199	1.7395469322756478e-17	5.849362896153058e-17	170	170
8	MDTB	ses-s1	sub-08	fs32k	CondHalf	sub-08	0.9982368908931915	4.294878726506078e-17	3.397950116834688e-15	167	167
9	MDTB	ses-s2	sub-08	fs32k	CondHalf	sub-08	0.9755029256172656	2.1883346803728203e-17	8.575776234689958e-17	107	107
10	MDTB	ses-s1	sub-09	fs32k	CondHalf	sub-09	0.996105643514719	5.026533621617419e-17	3.1185430569238015e-16	926	926
11	MDTB	ses-s2	sub-09	fs32k	CondHalf	sub-09	0.9798330125924016	2.199499530315742e-17	5.467118070460722e-16	672	672
12	MDTB	ses-s1	sub-10	fs32k	CondHalf	sub-10	0.9986761286833014	5.014339498736067e-17	4.73542336676906e-16	224	224
13	MDTB	ses-s2	sub-10	fs32k	CondHalf	sub-10	0.9810200861612056	2.1081665742793383e-17	1.8414283660111179e-16	210	210
14	MDTB	ses-s1	sub-12	fs32k	CondHalf	sub-12	0.9984178385022525	3.662731814651311e-17	1.820865212813876e-15	134	134
15	MDTB	ses-s2	sub-12	fs32k	CondHalf	sub-12	0.9825873039886199	2.8498883327626e-17	7.883031540682974e-17	125	125
16	MDTB	ses-s1	sub-14	fs32k	CondHalf	sub-14	0.9987833440227502	4.1404344048731794e-17	3.1880975473210855e-16	165	165
17	MDTB	ses-s2	sub-14	fs32k	CondHalf	sub-14	0.9824637295558968	2.2840060802033292e-17	5.852742855238909e-17	137	137
18	MDTB	ses-s1	sub-15	fs32k	CondHalf	sub-15	0.999108832133869	4.6526016488456077e-17	1.006454109101663e-16	350	350
19	MDTB	ses-s2	sub-15	fs32k	CondHalf	sub-15	0.9784036460100209	1.761326197968036e-17	4.917671802596153e-16	227	227
20	MDTB	ses-s1	sub-17	fs32k	CondHalf	sub-17	0.9985458001738616	5.376739584679672e-17	9.15316922808905e-17	243	243
21	MDTB	ses-s2	sub-17	fs32k	CondHalf	sub-17	0.9821575231067433	2.5588779257140392e-17	1.248506499761328e-15	157	157
22	MDTB	ses-s1	sub-18	fs32k	CondHalf	sub-18	0.998442897229103	3.171172295124541e-17	5.307788583641264e-17	306	306
23	MDTB	ses-s2	sub-18	fs32k	CondHalf	sub-18	0.9582480679671064	1.992004236736874e-17	2.624981924113001e-16	249	249
24	MDTB	ses-s1	sub-19	fs32k	CondHalf	sub-19	0.9984039629224882	3.8683511500849124e-17	1.164816918998684e-16	255	255
25	MDTB	ses-s2	sub-19	fs32k	CondHalf	sub-19	0.9711596778390412	1.6847296403387987e-17	7.501720549787769e-17	299	299
26	MDTB	ses-s1	sub-20	fs32k	CondHalf	sub-20	0.9987637099215518	3.0829170349323425e-17	6.713856754071746e-16	184	184
27	MDTB	ses-s2	sub-20	fs32k	CondHalf	sub-20	0.9758983218767656	2.1105961459296307e-17	6.42220596319011e-17	170	170
28	MDTB	ses-s1	sub-21	fs32k	CondHalf	sub-21	0.9990618903565819	3.198065144189259e-17	1.1729613969750217e-16	606	606
29	MDTB	ses-s2	sub-21	fs32k	CondHalf	sub-21	0.9726969984084954	1.7639660712610188e-17	8.352379859345522e-17	533	533
30	MDTB	ses-s1	sub-22	fs32k	CondHalf	sub-22	0.998978014981515	4.7644416284536166e-17	4.396556652822124e-16	383	383
31	MDTB	ses-s2	sub-22	fs32k	CondHalf	sub-22	0.9774833476769028	2.2594834975214553e-17	3.0561610484664513e-16	269	269
32	MDTB	ses-s1	sub-24	fs32k	CondHalf	sub-24	0.998626232041962	3.541077619574866e-17	9.409061029960356e-17	300	300
33	MDTB	ses-s2	sub-24	fs32k	CondHalf	sub-24	0.9733578132435194	1.7638453468892667e-17	9.61827751753479e-17	249	249
34	MDTB	ses-s1	sub-25	fs32k	CondHalf	sub-25	0.9967141871839708	2.626733095941184e-17	3.2741756161255155e-16	445	445
35	MDTB	ses-s2	sub-25	fs32k	CondHalf	sub-25	0.9716335462480578	1.94276163210827e-17	3.4089215246338745e-16	459	459
36	MDTB	ses-s1	sub-26	fs32k	CondHalf	sub-26	0.9981506475380566	3.2589737717959366e-17	7.63288639968705e-16	149	149
37	MDTB	ses-s2	sub-26	fs32k	CondHalf	sub-26	0.9649498234769252	1.697033008869457e-17	1.0858620079488641e-16	104	104
38	MDTB	ses-s1	sub-27	fs32k	CondHalf	sub-27	0.9983806527202541	3.255133055912914e-17	1.2579564269711873e-16	370	370
39	MDTB	ses-s2	sub-27	fs32k	CondHalf	sub-27	0.9846301844848261	1.8242204723188473e-17	1.1999588896700523e-16	281	281
40	MDTB	ses-s1	sub-28	fs32k	CondHalf	sub-28	0.9959858496886513	3.721011592789527e-17	4.478874959463815e-16	307	307
41	MDTB	ses-s2	sub-28	fs32k	CondHalf	sub-28	0.9751240870507983	2.3222277037505927e-17	1.0719867615495513e-16	396	396
42	MDTB	ses-s1	sub-29	fs32k	CondHalf	sub-29	0.9984696591839881	3.529392040414752e-17	1.1924956339415004e-16	185	185
43	MDTB	ses-s2	sub-29	fs32k	CondHalf	sub-29	0.9759930294752316	1.88382308465041e-17	1.9422819580801768e-16	161	161
44	MDTB	ses-s1	sub-30	fs32k	CondHalf	sub-30	0.9989878941334789	3.289697751442141e-17	6.724172322191803e-17	100	100
45	MDTB	ses-s2	sub-30	fs32k	CondHalf	sub-30	0.9722450580870653	2.007972063470143e-17	4.799076644601494e-17	85	85
46	MDTB	ses-s1	sub-31	fs32k	CondHalf	sub-31	0.9984041859161255	3.4211507442846786e-17	6.374084348420409e-17	409	409
47	MDTB	ses-s2	sub-31	fs32k	CondHalf	sub-31	0.9596647226948088	1.7632198211530166e-17	1.6147267223739836e-16	364	364
48	WMFS	ses-01	sub-01	fs32k	CondHalf	sub-01	1.0	0.21619212998467238	0.21619212998467238	159	159
49	WMFS	ses-02	sub-01	fs32k	CondHalf	sub-01	0.9999999999999999	0.3538254171468584	0.3538254171468587	99	99
50	WMFS	ses-01	sub-02	fs32k	CondHalf	sub-02	1.0	0.315309884745153	0.31530988474515315	83	83
51	WMFS	ses-02	sub-02	fs32k	CondHalf	sub-02	1.0	0.23282682976325383	0.23282682976325395	151	151
52	WMFS	ses-01	sub-03	fs32k	CondHalf	sub-03	1.0	0.1345172190140928	0.1345172190140928	155	155
53	WMFS	ses-02	sub-03	fs32k	CondHalf	sub-03	1.0	0.22228758883599528	0.22228758883599536	140	140
54	WMFS	ses-01	sub-04	fs32k	CondHalf	sub-04	1.0	0.2652272597496236	0.2652272597496237	75	75
55	WMFS	ses-02	sub-04	fs32k	CondHalf	sub-04	0.9999999999999999	0.28139401517890184	0.28139401517890206	107	107
56	WMFS	ses-01	sub-05	fs32k	CondHalf	sub-05	1.0	0.156922002286484	0.15692200228648376	80	80
57	WMFS	ses-02	sub-05	fs32k	CondHalf	sub-05	0.9999999999999997	0.3112340314056818	0.3112340314056817	103	103
58	WMFS	ses-01	sub-06	fs32k	CondHalf	sub-06	1.0	0.19170210004783372	0.19170210004783375	51	51
59	WMFS	ses-02	sub-06	fs32k	CondHalf	sub-06	1.0	0.3298401921016622	0.3298401921016623	35	35
