Dataset	task_name	cond_name	task_code	cond_code				
MDTB-S1	GoNoGo	NoGo	gng	ngo				
MDTB-S1	GoNoGo	Go	gng	go				Notes:
MDTB-S1	ToM	ToM	tom	NA				task_name and cond_name directly extracted from info files
MDTB-S1	actionObservation	VideoAct	actobserv	action				task_code and cond_code are suggestions for codes (same for similar tasks across two datasets)
MDTB-S1	actionObservation	VideoKnots	actobserv	knot				
MDTB-S1	affective	UnpleasantScenes	affect	unpleasant				
MDTB-S1	affective	PleasantScenes	affect	pleasant				
MDTB-S1	arithmetic	Math	arith	math				
MDTB-S1	arithmetic	DigitJudgement	arith	digitjudgement				
MDTB-S1	checkerBoard	CheckerBoard	checkbrd	NA				
MDTB-S1	emotional	SadFaces	emotional	sad				
MDTB-S1	emotional	HappyFaces	emotional	happy				
MDTB-S1	intervalTiming	IntervalTiming	intrval	NA				
MDTB-S1	motorImagery	MotorImagery	mtrimgry	NA				
MDTB-S1	motorSequence	FingerSimple	fingr	simple				
MDTB-S1	motorSequence	FingerSeq	fingr	sequence				
MDTB-S1	nBack	Verbal0Back	nbckverb	0bck				
MDTB-S1	nBack	Verbal2Back	nbckverb	2bck				
MDTB-S1	nBackPic	Object0Back	nbckpic	0bck				
MDTB-S1	nBackPic	Object2Back	nbckpic	2bck				
MDTB-S1	spatialNavigation	SpatialNavigation	spatialnav	NA				
MDTB-S1	stroop	StroopIncon	stroop	incon				
MDTB-S1	stroop	StroopCon	stroop	con				
MDTB-S1	verbGeneration	VerbGen	vrbgen	generate				
MDTB-S1	verbGeneration	WordRead	vrbgen	wordread				
MDTB-S1	visualSearch	VisualSearchSmall	vissearch	small				
MDTB-S1	visualSearch	VisualSearchMed	vissearch	med				
MDTB-S1	visualSearch	VisualSearchLarge	vissearch	large				
MDTB-S1	rest	rest	rest	NA				
MDTB-S2	CPRO	CPRO	cpro	NA				
MDTB-S2	prediction	Prediction	sntncpredict	normal				
MDTB-S2	prediction	PredictViol	sntncpredict	violation				
MDTB-S2	prediction	PredictScram	sntncpredict	scrambeled				
MDTB-S2	verbGeneration2	VerbGen	vrbgen	generate				
MDTB-S2	verbGeneration2	WordRead	vrbgen	wordread				
MDTB-S2	spatialNavigation2	SpatialNavigation	spatialnav	NA				
MDTB-S2	spatialMap	SpatialMapEasy	sptialmap	easy				
MDTB-S2	spatialMap	SpatialMapMed	sptialmap	med				
MDTB-S2	spatialMap	SpatialMedDiff	sptialmap	diff				
MDTB-S2	natureMovie	NatureMovie	movie	nature				
MDTB-S2	romanceMovie	RomanceMovie	movie	romance				
MDTB-S2	landscapeMovie	LandscapeMovie	movie	landscape				
MDTB-S2	motorSequence2	FingerSimple	fingr	simple				
MDTB-S2	motorSequence2	FingerSeq	fingr	sequence				
MDTB-S2	mentalRotation	MentalRotEasy	mntalrot	easy				
MDTB-S2	mentalRotation	MentalRotMed	mntalrot	med				
MDTB-S2	mentalRotation	MentalRotDiff	mntalrot	diff				
MDTB-S2	nBackPic2	Object0Back	nbckpic	0bck				
MDTB-S2	nBackPic2	Object2Back	nbckpic	2bck				
MDTB-S2	emotionProcess	BodyMotionIntact	biomotion	normal				
MDTB-S2	emotionProcess	BodyMotionScram	biomotion	scrambeled				
MDTB-S2	respAlt	RespAltEasy	respalt	easy				
MDTB-S2	respAlt	RespAltMed	respalt	med				
MDTB-S2	respAlt	RespAltDiff	respalt	diff				
MDTB-S2	visualSearch2	VisualSearchSmall	vissearch	small				
MDTB-S2	visualSearch2	VisualSearchMed	vissearch	med				
MDTB-S2	visualSearch2	VisualSearchLarge	vissearch	large				
MDTB-S2	ToM2	ToM	tom	NA				
MDTB-S2	actionObservation2	VideoAct	actobserv	action				
MDTB-S2	actionObservation2	VideoKnots	actobserv	knot				
MDTB-S2	rest2	rest	rest	NA				
Pontine	Instruct           		instrct	NA				
Pontine	visual_search      		vissearch	NA				
Pontine	finger_sequence    		fingr	NA				
Pontine	theory_of_mind     		tom	Na				
Pontine	n_back             		picnbck	NA				
Pontine	semantic_prediction		sntncpredict	NA				
Pontine	action_observation 		actobserv	NA				
Pontine	flexion_extension  		motor 	feetflexext				
Pontine	rest               		rest	NA				
Pontine	romance_movie      		movie	romance				
Language	Instruct                 		instrct	NA				
Language	rest                     		rest	NA				
Language	word_reading             		vrbgen	wordread				
Language	verb_GENERATION          		vrbgen	generate				
Language	action_observation_action		actobserv	action				
Language	action_observation_knot  		actobserv	knot				
Language	intact_passage           		pssglisten	intact				
Language	degraded_passage         		pssglisten	degraded				
Language	tongue_movement          		tongue	NA				
Language	finger_sequence          		fingr	sequence				
Language	theory_of_mind           		tom	NA				
Language	auditory_narrative       		audnarrative	NA				
Language	n_back                   		picnbck	NA				
Language	oddball                  		oddball	NA				
Language	demand_grid              		dmndgrid	NA				
Language	romance_movie            		movie	romance				
Language	spatial_navigation       		spatialnav	NA				
Language	sentence_reading         		read	sentence				
Language	nonword_reading          		read	noword				
HCP-task	EMOTION	FACES	hcpemotion	faces				
HCP-task	EMOTION	SHAPES	hcpemotion	shapes				
HCP-task	GAMBLING	PUNISH	hcpgamble	punish				
HCP-task	GAMBLING	REWARD	hcpgamble	reward				
HCP-task	LANGUAGE	MATH	hcplanguage	math				
HCP-task	LANGUAGE	STORY	hcplanguage	story				
HCP-task	MOTOR	CUE	motor	cue				
HCP-task	MOTOR	LF	motor	lfoot				
HCP-task	MOTOR	LH	motor	lhand				
HCP-task	MOTOR	RF	motor	rfoot				
HCP-task	MOTOR	RH	motor	rhand				
HCP-task	MOTOR	T	motor	tongue				
HCP-task	RELATIONAL	MATCH	hcprelation	match				
HCP-task	RELATIONAL	REL	hcprelation	rel				
HCP-task	SOCIAL	RANDOM	hcpsocial	random				
HCP-task	SOCIAL	TOM	hcpsocial	tom				
HCP-task	WM	2BK_BODY	hcpwm	2bckbody				
HCP-task	WM	2BK_FACE	hcpwm	2bckface				
HCP-task	WM	2BK_PLACE	hcpwm	2bckplace				
HCP-task	WM	2BK_TOOL	hcpwm	2bcktool				
HCP-task	WM	0BK_BODY	hcpwm	0bckbody				
HCP-task	WM	0BK_FACE	hcpwm	0bckface				
HCP-task	WM	0BK_PLACE	hcpwm	0bckplace				
HCP-task	WM	0BK_TOOL	hcpwm	0bcktool				
Demand	n_back	nback_E_face 	dmndnbck	nbckeface				
Demand	n_back	nback_E_house 	dmndnbck	nbckehouse				
Demand	n_back	nback_H_face 	dmndnbck	nbckhface				
Demand	n_back	nback_H_house 	dmndnbck	nbckhhouse				
Demand	switch	switch_E_face 	dmndswitch	switcheface				
Demand	switch	switch_E_house 	dmndswitch	switchehouse				
Demand	switch	switch_H_face 	dmndswitch	switchhface				
Demand	switch	switch_H_house 	dmndswitch	switchhhouse				
Demand	stop	stop_E_face	dmndstop	stopeface				
Demand	stop	stop_E_house 	dmndstop	stopehouse				
Demand	stop	stop_H_face 	dmndstop	stophface				
Demand	stop	stop_H_house 	dmndstop	stophhouse				
Somatotopic	motor	hand_right 	motor	rhand				
Somatotopic	motor	tongue 	motor	tongue				
Somatotopic	motor	hand_left 	motor	lhand				
Somatotopic	motor	foot_right 	motor	rfoot				
Somatotopic	motor	foot_left 	motor	lfoot				
Somatotopic	motor	glutes 	motor	glutes				
WMFS_ses-02	wm	L2F_encode	wm	l2fencode				
WMFS_ses-02	wm	L2F_retriev	wm	l2fretriev				
WMFS_ses-02	wm	L2B_encode	wm	l2bencode				
WMFS_ses-02	wm	L2B_retriev	wm	l2bretriev				
WMFS_ses-02	wm	L4F_encode	wm	l4fencode				
