sequence	scope	subject	step	status	elapsed_seconds	start_rss_mib	end_rss_mib	peak_rss_mib	peak_increase_mib	error
1	setup		initialize_dataset	ok	0.03721042163670063	126.640625	127.7265625	127.7265625	1.0859375	
2	setup		load_network_and_atlas	ok	0.10068470798432827	127.82421875	129.56640625	129.56640625	1.7421875	
3	subject_step	112516	load_subject_data	ok	4.968962457031012	129.8046875	685.3125	2443.59375	2313.7890625	
4	subject_step	112516	build_network_timecourse	ok	1.0105457361787558	685.3125	704.66796875	737.66015625	52.34765625	
5	subject_step	112516	connectivity_fingerprint	ok	7.11612150631845	704.67578125	895.3125	1691.3828125	986.70703125	
6	subject_step	112516	build_output_metadata	ok	0.02429250441491604	895.3125	895.32421875	895.32421875	0.01171875	
7	subject_step	112516	create_cifti	ok	1.4137522615492344	895.32421875	913.34765625	913.34765625	18.0234375	
8	subject_step	112516	save_cifti	ok	2.108284816145897	913.34765625	913.38671875	913.38671875	0.0390625	
9	subject	112516	subject_total	ok	17.046938618645072	129.8046875	913.38671875	2443.59375	2313.7890625	
10	subject_step	112920	load_subject_data	ok	5.281347682699561	913.38671875	915.3671875	3158.03125	2244.64453125	
11	subject_step	112920	build_network_timecourse	ok	0.8694095052778721	915.3671875	949.671875	949.671875	34.3046875	
12	subject_step	112920	connectivity_fingerprint	ok	6.093792404979467	949.671875	1038.66796875	1831.12890625	881.45703125	
13	subject_step	112920	build_output_metadata	ok	0.02506108395755291	1038.66796875	1038.66796875	1038.66796875	0.0	
14	subject_step	112920	create_cifti	ok	1.4676230363547802	1038.66796875	917.3828125	1038.66796875	0.0	
15	subject_step	112920	save_cifti	ok	2.3894415758550167	917.3828125	917.390625	917.390625	0.0078125	
16	subject	112920	subject_total	ok	16.591266825795174	913.38671875	917.390625	3158.03125	2244.64453125	
17	subject_step	113215	load_subject_data	ok	4.473827911540866	917.390625	917.3984375	3233.09375	2315.703125	
18	subject_step	113215	build_network_timecourse	ok	1.0343893244862556	917.3984375	950.58984375	950.58984375	33.19140625	
19	subject_step	113215	connectivity_fingerprint	ok	6.093136388808489	950.58984375	1042.3203125	1795.3828125	844.79296875	
