subject	run classified
s02	01  X
s02	07  X
s02	11  X
s02	19  X
s02	26  X
s02	30  X
s03	01  X
s03	05  X
s03	14
s03	18  X
s03	19  X
s03	22  X
s03	23
s03	26
s03	27
s03	28
s03	30
s04	01
s04	04
s04	14
s04	17
s04	18
s04	21
s04	22
s04	25
s04	29
s06	07
s06	09
s06	12
s06	15
s06	18
s06	19
s06	21
s06	22
s06	25
s07	17
s07	20
s08	05
s08	06
s08	19
s08	22
s08	26
s08	29
s08	30
s09	04
s09	14
s09	16
s09	17
s09	24
s09	32
s10	03
s10	14
s10	17
s10	24
s12	02
s12	05
s12	20
s12	22
s12	29
s12	30
s14	04
s14	08
s14	17
s14	19
s14	25
s14	28
s15	04
s15	08
s15	09
s15	14
s15	24
s15	30
s15	31
s17	01
s17	04
s17	06
s17	07
s17	10
s17	13
s17	15
s17	16
s17	21
s17	26
s17	29
s17	32
s18	02
s18	03
s18	07
s18	11
s18	13
s18	25
s19	17
s19	22
s20	01
s20	02
s20	04
s20	07
s20	08
s20	13
s20	18
s20	20
s20	22
s20	24
s21	07
s21	16
s21	27
s21	28
s21	30
s21	31
s21	32
s22	16
s22	23
s23	01
s23	04
s23	05
s23	06
s23	08
s23	10
s23	13
s23	25
s24	06
s24	07
s24	09
s24	13
s24	16
s24	22
s24	27
s24	31
s25	04
s25	07
s25	16
s25	17
s25	23
s25	29
s25	31
s26	06
s26	09
s26	15
s26	16
s26	23
s26	29
s26	31
s27	02
s27	06
s27	15
s27	16
s27	24
s27	26
s28	03
s28	07
s28	17
s28	20
s29	12
s29	14
s29	19
s29	21
s29	22
s29	27
s30	12
s30	14
s30	15
s30	28
s30	30
s31	08
s31	14
s31	21
s31	30
