task	condition	regnum	regid	reginterest
ArchiStandard	audio_computation	1	1	1
ArchiStandard	audio_left_hand	2	2	1
ArchiStandard	audio_right_hand	3	3	1
ArchiStandard	audio_sentence	4	4	1
ArchiStandard	horizontal_checkerboard	5	5	1
ArchiStandard	vertical_checkerboard	6	6	1
ArchiStandard	video_computation	7	7	1
ArchiStandard	video_left_hand	8	8	1
ArchiStandard	video_right_hand	9	9	1
ArchiStandard	video_sentence	10	10	1
ArchiSpatial	object_grasp	11	1	1
ArchiSpatial	object_orientation	12	2	1
ArchiSpatial	rotation_hand	13	3	1
ArchiSpatial	rotation_side	14	4	1
ArchiSpatial	saccade	15	5	1
ArchiSocial	false_belief_audio	16	1	1
ArchiSocial	false_belief_video	17	2	1
ArchiSocial	mechanistic_audio	18	3	1
ArchiSocial	mechanistic_video	19	4	1
ArchiSocial	non_speech	20	5	1
ArchiSocial	speech	21	6	1
ArchiSocial	triangle_intention	22	7	1
ArchiSocial	triangle_random	23	8	1
ArchiEmotional	expression_control	24	1	1
ArchiEmotional	expression_gender	25	2	1
ArchiEmotional	expression_intention	26	3	1
ArchiEmotional	face_control	27	4	1
ArchiEmotional	face_gender	28	5	1
ArchiEmotional	face_trusty	29	6	1
HcpEmotion	face	1	1	1
HcpEmotion	shape	2	2	1
HcpGambling	neutral	3	1	1
HcpGambling	punishment	4	2	1
HcpGambling	reward	5	3	1
HcpMotor	cue	6	1	1
HcpMotor	left_foot	7	2	1
HcpMotor	left_hand	8	3	1
HcpMotor	right_foot	9	4	1
HcpMotor	right_hand	10	5	1
HcpMotor	tongue	11	6	1
HcpLanguage	math	12	1	1
HcpLanguage	story	13	2	1
HcpRelational	control	1	1	1
HcpRelational	relational	2	2	1
HcpSocial	mental	3	1	1
HcpSocial	random	4	2	1
HcpWm	0back_body	5	1	1
HcpWm	0back_face	6	2	1
HcpWm	0back_place	7	3	1
HcpWm	0back_tools	8	4	1
HcpWm	2back_body	9	5	1
HcpWm	2back_face	10	6	1
HcpWm	2back_place	11	7	1
HcpWm	2back_tools	12	8	1
RSVPLanguage	complex_sentence	1	1	1
RSVPLanguage	consonant_string	2	2	1
RSVPLanguage	jabberwocky	3	3	1
RSVPLanguage	probe	4	4	1
RSVPLanguage	pseudoword_list	5	5	1
RSVPLanguage	simple_sentence	6	6	1
RSVPLanguage	word_list	7	7	1
MTTWE	we_after_close_event	1	1	1
MTTWE	we_after_far_event	2	2	1
MTTWE	we_all_event_response	3	3	1
MTTWE	we_all_reference	4	4	1
MTTWE	we_all_space_cue	5	5	1
MTTWE	we_all_time_cue	6	6	1
MTTWE	we_before_close_event	7	7	1
MTTWE	we_before_far_event	8	8	1
MTTWE	we_eastside_close_event	9	9	1
MTTWE	we_eastside_far_event	10	10	1
MTTWE	we_westside_close_event	11	11	1
MTTWE	we_westside_far_event	12	12	1
MTTNS	sn_after_close_event	1	1	1
MTTNS	sn_after_far_event	2	2	1
MTTNS	sn_all_event_response	3	3	1
MTTNS	sn_all_reference	4	4	1
MTTNS	sn_all_space_cue	5	5	1
MTTNS	sn_all_time_cue	6	6	1
MTTNS	sn_before_close_event	7	7	1
MTTNS	sn_before_far_event	8	8	1
MTTNS	sn_northside_close_event	9	9	1
MTTNS	sn_northside_far_event	10	10	1
MTTNS	sn_southside_close_event	11	11	1
MTTNS	sn_southside_far_event	12	12	1
PreferenceFood	food_constant	1	1	1
PreferenceFood	food_linear	2	2	0
PreferenceFood	food_quadratic	3	3	0
PreferencePaintings	painting_constant	4	1	1
PreferencePaintings	painting_linear	5	2	0
PreferencePaintings	painting_quadratic	6	3	0
PreferenceFaces	face_constant	7	1	1
PreferenceFaces	face_linear	8	2	0
PreferenceFaces	face_quadratic	9	3	0
PreferenceHouses	house_constant	10	1	1
PreferenceHouses	house_linear	11	2	0
PreferenceHouses	house_quadratic	12	3	0
TheoryOfMind	belief	1	1	1
TheoryOfMind	photo	2	2	1
EmotionalPain	emotional_pain	3	1	1
EmotionalPain	physical_pain	4	2	1
PainMovie	mental	5	1	1
PainMovie	pain	6	2	1
VSTM	vstm_response_num_1	1	1	1
VSTM	vstm_response_num_2	2	2	1
VSTM	vstm_response_num_3	3	3	1
VSTM	vstm_response_num_4	4	4	1
VSTM	vstm_response_num_5	5	5	1
VSTM	vstm_response_num_6	6	6	1
Enumeration	enumeration_response_num_1	7	1	1
Enumeration	enumeration_response_num_2	8	2	1
Enumeration	enumeration_response_num_3	9	3	1
Enumeration	enumeration_response_num_4	10	4	1
Enumeration	enumeration_response_num_5	11	5	1
