subject	run-01	run-02	run-03	run-04
1	encode_other	encode_other	encode_other	encode_other
1	encode_self	encode_self	encode_self	encode_other_no_response
1	false_alarm	false_alarm	false_alarm	encode_self
1	instructions	instructions	instructions	encode_self_no_response
1	recognition_other_hit	recognition_other_hit	recognition_other_hit	false_alarm
1	recognition_self_hit	recognition_other_miss	recognition_other_miss	instructions
1		recognition_self_hit	recognition_self_hit	new_no_response
1				recognition_other_miss
1				recognition_other_no_response
1				recognition_self_miss
4	encode_other	correct_rejection	correct_rejection	encode_other
4	encode_self	encode_other	encode_other	encode_self
4	false_alarm	encode_self	encode_self	false_alarm
4	instructions	false_alarm	encode_self_no_response	instructions
4	recognition_other_hit	instructions	false_alarm	recognition_other_hit
4	recognition_other_miss	recognition_other_hit	instructions	recognition_other_miss
4	recognition_self_hit	recognition_other_miss	recognition_other_hit	recognition_self_hit
4	recognition_self_miss	recognition_self_hit	recognition_other_miss	recognition_self_miss
4		recognition_self_miss	recognition_self_hit	
4			recognition_self_miss	
5	correct_rejection	correct_rejection	encode_other	encode_other
5	encode_other	encode_other	encode_self	encode_other_no_response
5	encode_other_no_response	encode_other_no_response	false_alarm	encode_self
5	encode_self	encode_self	instructions	false_alarm
5	encode_self_no_response	encode_self_no_response	new_no_response	instructions
5	false_alarm	false_alarm	recognition_other_hit	new_no_response
5	instructions	instructions	recognition_other_miss	recognition_other_hit
5	new_no_response	new_no_response	recognition_other_no_response	recognition_other_miss
5	recognition_other_hit	recognition_other_hit	recognition_self_hit	recognition_other_no_response
5	recognition_other_miss	recognition_other_miss	recognition_self_miss	recognition_self_hit
5	recognition_other_no_response	recognition_other_no_response		
5	recognition_self_hit	recognition_self_hit		
5	recognition_self_miss	recognition_self_miss		
5	recognition_self_no_response	recognition_self_no_response		
6	correct_rejection	correct_rejection	correct_rejection	correct_rejection
6	encode_other	encode_other	encode_other	encode_other
6	encode_self	encode_self	encode_self	encode_self
6	false_alarm	false_alarm	false_alarm	false_alarm
6	instructions	instructions	instructions	instructions
6	recognition_other_hit	recognition_other_hit	recognition_other_hit	recognition_other_hit
6	recognition_other_miss	recognition_other_miss	recognition_other_miss	recognition_other_miss
6	recognition_self_hit	recognition_self_hit	recognition_self_hit	recognition_other_no_response
6		recognition_self_miss		recognition_self_hit
6				recognition_self_miss
7	correct_rejection	correct_rejection	correct_rejection	encode_other
7	encode_other	encode_other	encode_other	encode_self
7	encode_self	encode_self	encode_self	false_alarm
7	false_alarm	false_alarm	false_alarm	instructions
7	instructions	instructions	instructions	recognition_other_hit
7	recognition_other_hit	recognition_other_hit	recognition_other_hit	recognition_other_miss
7	recognition_other_miss	recognition_other_miss	recognition_other_miss	recognition_self_hit
7	recognition_self_hit	recognition_self_hit	recognition_self_hit	recognition_self_miss
7	recognition_self_miss		recognition_self_miss	
8	correct_rejection	correct_rejection	encode_other	correct_rejection
8	encode_other	encode_other	encode_self	encode_other
8	encode_self	encode_self	false_alarm	encode_self
8	false_alarm	false_alarm	instructions	false_alarm
8	instructions	instructions	recognition_other_hit	instructions
8	recognition_other_hit	recognition_other_hit	recognition_other_miss	recognition_other_hit
8	recognition_other_miss	recognition_other_miss	recognition_self_hit	recognition_other_miss
8	recognition_self_hit	recognition_self_hit	recognition_self_miss	recognition_self_hit
8	recognition_self_miss	recognition_self_miss		recognition_self_miss
9	correct_rejection	correct_rejection	correct_rejection	encode_other
9	encode_other	encode_other	encode_other	encode_self
9	encode_self	encode_self	encode_self	false_alarm
9	false_alarm	false_alarm	false_alarm	instructions
9	instructions	instructions	instructions	recognition_other_hit
9	recognition_other_hit	recognition_other_hit	new_no_response	recognition_self_hit
9	recognition_other_miss	recognition_other_miss	recognition_other_hit	recognition_self_miss
9	recognition_self_hit	recognition_self_hit	recognition_other_miss	
9	recognition_self_miss		recognition_other_no_response	
9			recognition_self_hit	
9			recognition_self_miss	
11	correct_rejection	correct_rejection	correct_rejection	correct_rejection
11	encode_other	encode_other	encode_other	encode_other
11	encode_self	encode_self	encode_self	encode_self
11	false_alarm	false_alarm	false_alarm	false_alarm
11	instructions	instructions	instructions	instructions
11	recognition_other_hit	recognition_other_hit	recognition_other_hit	recognition_other_hit
11	recognition_other_miss	recognition_other_miss	recognition_other_miss	recognition_other_miss
11	recognition_self_hit	recognition_self_hit	recognition_self_hit	recognition_self_hit
11	recognition_self_miss	recognition_self_miss	recognition_self_miss	recognition_self_miss
11		recognition_self_no_response		
12	correct_rejection	correct_rejection	correct_rejection	correct_rejection
12	encode_other	encode_other	encode_other	encode_other
12	encode_self	encode_self	encode_self	encode_self
12	false_alarm	false_alarm	false_alarm	false_alarm
12	instructions	instructions	instructions	instructions
12	recognition_other_hit	recognition_other_hit	recognition_other_hit	recognition_other_hit
12	recognition_other_miss	recognition_other_miss	recognition_other_miss	recognition_other_miss
12	recognition_self_hit	recognition_self_hit	recognition_self_hit	recognition_self_hit
12	recognition_self_miss	recognition_self_miss	recognition_self_miss	recognition_self_miss
13	correct_rejection	correct_rejection	encode_other	correct_rejection
13	encode_other	encode_other	encode_self	encode_other
13	encode_self	encode_self	false_alarm	encode_self
13	false_alarm	encode_self_no_response	instructions	false_alarm
13	instructions	false_alarm	new_no_response	instructions
13	new_no_response	instructions	recognition_other_hit	recognition_other_hit
13	recognition_other_hit	recognition_other_hit	recognition_other_miss	recognition_other_miss
13	recognition_other_miss	recognition_other_miss	recognition_self_hit	recognition_other_no_response
13	recognition_self_hit	recognition_self_hit	recognition_self_miss	recognition_self_hit
13	recognition_self_miss	recognition_self_miss		recognition_self_miss
14	correct_rejection	correct_rejection	correct_rejection	correct_rejection
14	encode_other	encode_other	encode_other	encode_other
14	encode_self	encode_other_no_response	encode_self	encode_other_no_response
14	false_alarm	encode_self	false_alarm	encode_self
14	instructions	encode_self_no_response	instructions	false_alarm
14	new_no_response	false_alarm	new_no_response	instructions
14	recognition_other_hit	instructions	recognition_other_hit	new_no_response
