subj_num	type	ses	run	global_run	similarity
0	ROI1483Run	ses-rest1	1	0	0.7398512409230867
1	ROI1483Run	ses-rest1	1	0	0.5251529693706009
2	ROI1483Run	ses-rest1	1	0	0.6545734914159125
3	ROI1483Run	ses-rest1	1	0	0.7282411417106657
4	ROI1483Run	ses-rest1	1	0	0.6761894879252647
5	ROI1483Run	ses-rest1	1	0	0.6952230243888574
6	ROI1483Run	ses-rest1	1	0	0.7224350757510101
7	ROI1483Run	ses-rest1	1	0	0.6472300566798173
8	ROI1483Run	ses-rest1	1	0	0.6910427390032782
9	ROI1483Run	ses-rest1	1	0	0.7065593167120777
