	dataset	session	subject	space	type	participant_id	correlation	baseline_old	baseline_new	missing_old	missing_new
0	WMFS	ses-01	sub-01	fs32k	CondHalf	sub-01	1.0	0.21619212998467238	0.21619212998467238	159	159
1	WMFS	ses-02	sub-01	fs32k	CondHalf	sub-01	0.9999999999999999	0.3538254171468584	0.3538254171468587	99	99
2	WMFS	ses-01	sub-02	fs32k	CondHalf	sub-02	1.0	0.315309884745153	0.31530988474515315	83	83
3	WMFS	ses-02	sub-02	fs32k	CondHalf	sub-02	1.0	0.23282682976325383	0.23282682976325395	151	151
4	WMFS	ses-01	sub-03	fs32k	CondHalf	sub-03	1.0	0.1345172190140928	0.1345172190140928	155	155
5	WMFS	ses-02	sub-03	fs32k	CondHalf	sub-03	1.0	0.22228758883599528	0.22228758883599536	140	140
6	WMFS	ses-01	sub-04	fs32k	CondHalf	sub-04	1.0	0.2652272597496236	0.2652272597496237	75	75
7	WMFS	ses-02	sub-04	fs32k	CondHalf	sub-04	0.9999999999999999	0.28139401517890184	0.28139401517890206	107	107
8	WMFS	ses-01	sub-05	fs32k	CondHalf	sub-05	1.0	0.156922002286484	0.15692200228648376	80	80
9	WMFS	ses-02	sub-05	fs32k	CondHalf	sub-05	0.9999999999999997	0.3112340314056818	0.3112340314056817	103	103
10	WMFS	ses-01	sub-06	fs32k	CondHalf	sub-06	1.0	0.19170210004783372	0.19170210004783375	51	51
11	WMFS	ses-02	sub-06	fs32k	CondHalf	sub-06	1.0	0.3298401921016622	0.3298401921016623	35	35
12	WMFS	ses-01	sub-07	fs32k	CondHalf	sub-07	1.0	0.23899605489712036	0.23899605489712034	161	161
13	WMFS	ses-02	sub-07	fs32k	CondHalf	sub-07	0.9999999999999999	0.3254145623231084	0.3254145623231086	154	154
14	WMFS	ses-01	sub-08	fs32k	CondHalf	sub-08	0.9999999999999999	0.21523570091964386	0.21523570091964384	68	68
15	WMFS	ses-02	sub-08	fs32k	CondHalf	sub-08	1.0	0.29777693786459475	0.2977769378645948	118	118
16	WMFS	ses-01	sub-09	fs32k	CondHalf	sub-09	0.9999999999999997	0.17097140616880643	0.1709714061688065	200	200
17	WMFS	ses-02	sub-09	fs32k	CondHalf	sub-09	1.0	0.2640050635787578	0.2640050635787579	376	376
