	0
0	7
1	7
2	7
3	7
4	7
5	7
6	8
7	8
8	8
9	8
10	8
11	8
12	9
13	9
14	9
15	9
16	9
17	9
18	10
19	10
20	10
21	10
22	10
23	10
24	11
25	11
26	11
27	11
28	11
29	11
30	12
31	12
32	12
33	12
34	12
35	12
36	13
37	13
38	13
39	13
40	13
41	13
42	14
43	14
44	14
45	14
46	14
47	14
48	15
49	15
50	15
51	15
52	15
53	15
54	16
55	16
56	16
57	16
58	16
59	16
60	17
61	17
62	17
63	17
64	17
65	17
66	18
67	18
68	18
69	18
70	18
71	18
72	19
73	19
74	19
75	19
76	19
77	19
78	20
79	20
80	20
81	20
82	20
83	20
84	21
85	21
86	21
87	21
88	21
89	21
90	22
91	22
92	22
93	22
94	22
95	22
96	23
97	23
98	23
99	23
100	23
101	23
102	24
103	24
104	24
105	24
106	24
107	24
